step,demo_index,cfg_scale,control_scale,variant,row_type,variant_a,variant_b,control_input_rms,control_input_mean_abs,control_input_zero_ratio,forward_delta_rms,forward_delta_mean_abs,forward_delta_zero_ratio,forward_delta_frame_active_ratio,forward_delta_cosine,forward_delta_relative_l2_difference,audio_rms,audio_peak,audio_silence_ratio,low_band_ratio,mid_band_ratio,high_band_ratio,low_mid_band_ratio,spectral_centroid_hz,warning
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.1771048307418823,2.2582321166992188,0.0,0.0,0.0,1.0,0.0,15153.925208126304,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.9151517152786255,1.5004868507385254,0.0,1.5024260595000217e-14,0.0,1.0,1.5024260595000217e-14,15372.792816341593,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,1.015156626701355,1.7472761869430542,0.0,0.0,0.0,1.0,0.0,16799.849207880015,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,1.015156626701355,1.7472761869430542,0.0,0.0,0.0,1.0,0.0,16799.849207880015,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,1.015156626701355,1.7472761869430542,0.0,0.0,0.0,1.0,0.0,16799.849207880015,
1,0,3.0,0.3,correct,variant,,,,,,,,,,,,1.015156626701355,1.7472761869430542,0.0,0.0,0.0,1.0,0.0,16799.849207880015,
1,0,3.0,0.3,zero,variant,,,,,,,,,,,,1.015156626701355,1.7472761869430542,0.0,0.0,0.0,1.0,0.0,16799.849207880015,
1,0,3.0,0.3,null,variant,,,,,,,,,,,,1.015156626701355,1.7472761869430542,0.0,0.0,0.0,1.0,0.0,16799.849207880015,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.1462743282318115,1.314335584640503,0.0,3.0374529932373332e-15,0.0,1.0,3.0374529932373332e-15,11056.75918793035,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.8669545650482178,1.3123481273651123,0.0,7.408014147631538e-15,0.0,1.0,7.408014147631538e-15,15796.230316600811,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.6483075022697449,1.0649166107177734,0.0,1.0757405404725696e-15,0.0,1.0,1.0757405404725696e-15,21986.582812030865,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.49326974153518677,0.802558958530426,0.0,1.2437996364755182e-14,0.0,1.0,1.2437996364755182e-14,12705.218915466194,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.1696181297302246,2.4616894721984863,0.0,1.5277166203370842e-14,0.0,1.0,1.5277166203370842e-14,18050.569276492883,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.9232585430145264,1.9521441459655762,0.0,2.068994678272747e-16,0.0,1.0,2.068994678272747e-16,16520.605856625898,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,0.6215075850486755,0.9844211339950562,0.0,0.0,0.0,1.0,0.0,17719.121090964738,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,0.6215075850486755,0.9844211339950562,0.0,0.0,0.0,1.0,0.0,17719.121090964738,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,0.6215075850486755,0.9844211339950562,0.0,0.0,0.0,1.0,0.0,17719.121090964738,
1,0,3.0,0.3,correct,variant,,,,,,,,,,,,0.6215075850486755,0.9844211339950562,0.0,0.0,0.0,1.0,0.0,17719.121090964738,
1,0,3.0,0.3,zero,variant,,,,,,,,,,,,0.6215075850486755,0.9844211339950562,0.0,0.0,0.0,1.0,0.0,17719.121090964738,
1,0,3.0,0.3,null,variant,,,,,,,,,,,,0.6215075850486755,0.9844211339950562,0.0,0.0,0.0,1.0,0.0,17719.121090964738,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.43910256028175354,0.6591100692749023,0.0,1.1494501346331384e-14,0.0,1.0,1.1494501346331384e-14,20848.057537623987,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,2.0047061443328857,3.344200372695923,0.0,1.2644740184286254e-15,0.0,1.0,1.2644740184286254e-15,17305.069373143,
